ts,Es,E1s,E2s,delta_uhs,Delta_uhs
0.0,0.691486688773568,0.32548160087919675,0.36600508789437036,,
0.0001,0.49491550873249796,0.04662902748201895,0.4482864812504784,4.3438580720014015e-15,4.3438580720014015e-15
0.0002,0.4831977824875301,0.036824437751673746,0.4463733447358562,1.3350975544827837e-15,5.4809268026135335e-15
0.00030000000000000003,0.47522909088742543,0.03747651357723076,0.4377525773101942,2.4530022053654972e-15,7.997809273743758e-15
0.0004,0.4672539317086895,0.04023982776123639,0.42701410394745287,2.9257161720244735e-15,1.1830625219627346e-14
0.0005,0.45901132037128445,0.04379729498174153,0.41521402538954383,-1.5331263783534358e-16,9.83756092776788e-15
0.0006000000000000001,0.45056663477404263,0.04775132266315201,0.40281531211089,2.3507937801419352e-15,1.3593720554733798e-14
0.0007000000000000001,0.4420386247674012,0.05190520099393911,0.39013342377346205,2.567986683742005e-15,1.6148931185322857e-14
0.0008000000000000001,0.43355673231240804,0.05612578886649845,0.377430943445909,4.458842550377909e-15,1.926628815464151e-14
0.0009000000000000002,0.4252460372555984,0.06030884699955041,0.36493719025604804,1.0987405711532958e-15,2.1668186147395226e-14
0.0010000000000000002,0.4172150629570999,0.06436893332053129,0.3528461296365699,4.50994676298969e-15,2.514327260499635e-14
0.0011000000000000003,0.4095449898327611,0.0682372844665537,0.3413077053662089,3.7050554143541366e-16,2.565431473111416e-14
0.0012000000000000003,0.40228454725373797,0.0718628786950337,0.3304216685587052,-2.427450099059607e-16,2.6983024259020472e-14
0.0013000000000000004,0.39545367158532535,0.07521342475841548,0.32024024682690966,1.7247671756476153e-16,2.688081583379691e-14
0.0014000000000000004,0.3890533378881675,0.0782737281069778,0.3107796097811896,5.263733899013463e-15,3.025369386617447e-14
0.0015000000000000005,0.3830749647053605,0.08104123185376724,0.30203373285159296,2.254973381494845e-15,3.383098874899915e-14
0.0016000000000000005,0.377504624626357,0.08352096284586089,0.2939836617804965,2.7979556404950203e-15,3.771490890749452e-14
0.0017000000000000006,0.37232256853350765,0.08572244989982788,0.28660011863367996,8.304434549414444e-17,3.50574898516819e-14
0.0018000000000000006,0.36750235643075435,0.08765930650608786,0.279843049924667,2.0824966639300838e-15,3.9043618435400835e-14
0.0019000000000000006,0.36301309244918856,0.08934985842381253,0.27366323402537557,6.38802657647265e-17,3.935024371107152e-14
0.0020000000000000005,0.35882411336149117,0.09081667324723122,0.2680074401142605,3.9222483179542065e-15,4.2109871192107706e-14
0.0021000000000000003,0.35490877531662574,0.09208446188110846,0.26282431343551765,3.174849208506907e-15,4.722029245328582e-14
0.0022,0.3512451901498938,0.09317749884388724,0.2580676913060073,8.496075346708623e-16,4.987771150909845e-14
0.0023,0.34781454705219034,0.09411785198981504,0.253696695062375,1.8333636274476504e-15,4.803795985507432e-14
0.0024,0.34459900394697546,0.0949248336839836,0.24967417026299188,3.5006385639070118e-15,5.5396966471170816e-14
0.0024999999999999996,0.3415806293626647,0.09561531305690037,0.24596531630576396,2.6638070823890948e-15,5.580580017206507e-14
0.0025999999999999994,0.3387418251992611,0.09620426896987919,0.24253755622938203,4.688811507130925e-15,5.866763607832481e-14
0.0026999999999999993,0.3360668378845912,0.0967050378444667,0.23936180004012458,2.67658313554204e-15,6.050738773234894e-14
0.002799999999999999,0.3335432271816649,0.09712898505829665,0.2364142421233681,-8.879356941296983e-16,6.152947198458456e-14
0.002899999999999999,0.3311617594043115,0.09748483903056816,0.2336769203737436,-3.8392039724600626e-15,6.296038993771443e-14
0.0029999999999999988,0.32891411999877507,0.09777845742424304,0.23113566257453147,2.8490598531068015e-15,6.214272253592594e-14
0.0030999999999999986,0.32679011025875637,0.09801368673374378,0.22877642352501257,3.7050554143541366e-16,6.27559730872673e-14
0.0031999999999999984,0.3247769588508037,0.09819394667127326,0.22658301217953059,3.724219494083555e-15,6.541339214307993e-14
0.0032999999999999982,0.32286107401732655,0.09832334693613227,0.22453772708119427,-5.749223918825385e-16,6.336922363860868e-14
0.003399999999999998,0.32103010837708,0.0984067161935554,0.22262339218352473,3.117356969318653e-15,6.786639434844543e-14
0.003499999999999998,0.31927378687429797,0.09844900833912332,0.22082477853517424,-1.5970066441181623e-16,6.725314379710406e-14
0.0035999999999999977,0.3175836606185483,0.09845477270027964,0.21912888791826843,6.477458948543267e-15,7.399889986185917e-14
0.0036999999999999976,0.31595249978729806,0.09842795659503165,0.21752454319226583,4.002098650160115e-15,7.66563189176718e-14
0.0037999999999999974,0.31437375974082304,0.09837198707717393,0.21600177266364878,9.709800396238428e-16,8.115348962750854e-14
0.0038999999999999972,0.3128412627955724,0.09828999869504339,0.21455126410052927,-1.4628580860122368e-15,7.82916537212488e-14
0.0039999999999999975,0.3113491156131059,0.09818509225965767,0.2131640233534485,-2.861835906259747e-15,7.113706395559942e-14
0.004099999999999998,0.30989184118175955,0.0980605368772599,0.21183130430449953,7.828526569467232e-15,8.258440758063841e-14
0.004199999999999998,0.3084646663932595,0.09791984830749385,0.21054481808576553,1.2552472222768756e-15,8.340207498242691e-14
0.004299999999999998,0.30706384293815286,0.09776670391908893,0.20929713901906438,3.5772948828246836e-16,8.278882443108554e-14
0.0043999999999999985,0.3056868141893915,0.09760470690141825,0.20808210728797336,-3.6731152814717736e-16,8.237999073019129e-14
0.004499999999999999,0.30433205973703364,0.09743709394361724,0.20689496579341676,5.252554852504636e-15,9.219199955165328e-14
0.004599999999999999,0.30299865233061085,0.09726654909286984,0.20573210323774074,3.695473374489427e-15,9.341850065433603e-14
0.004699999999999999,0.3016858868525215,0.09709525203819737,0.20459063481432424,5.019391882463384e-15,9.178316585075903e-14
0.0048,0.30039344825970576,0.09692510759469317,0.2034683406650122,3.4191912250569858e-15,1.0200400837311527e-13
0.0049,0.29912216705716976,0.09675789889216617,0.2023642681650031,-1.8525277071770683e-16,9.832450506506702e-14
0.005,0.29787467429833137,0.09659511020352342,0.20127956409480832,1.1658148502062585e-15,9.852892191551415e-14
0.0051,0.29665492501499824,0.09643746525626595,0.20021745975873192,3.832017442561531e-15,1.0486584427937502e-13
0.005200000000000001,0.2954663355284719,0.09628459964061409,0.1991817358878578,1.6353348035769983e-15,1.0384376002713938e-13
0.005300000000000001,0.2943098699192227,0.09613527798303095,0.19817459193619158,2.567188180419946e-15,1.0895418128831751e-13
0.005400000000000001,0.2931837724969532,0.09598803275935715,0.1971957397375958,-2.175921552610996e-15,1.0956743183965889e-13
0.005500000000000001,0.2920848441162775,0.09584169835208307,0.19624314576419438,-6.426017867342492e-16,1.0915859813876463e-13
0.005600000000000002,0.29100980506780527,0.09569557910838573,0.19531422595941952,-4.364419532544423e-15,1.0261725892445664e-13
0.005700000000000002,0.28995596837180715,0.09554939201232313,0.1944065763594842,1.8760835551778113e-15,1.0302609262535089e-13
0.005800000000000002,0.28892141191421183,0.0954031536979634,0.19351825821624824,-1.1474492737988996e-15,1.0445701057848076e-13
0.0059000000000000025,0.2879049657399,0.09525705881618415,0.192647906923716,1.111516624306241e-15,1.0323050947579802e-13
0.006000000000000003,0.2869061199522264,0.0951113540150652,0.19179476593716097,8.182263541139405e-15,1.0752326333518763e-13
0.006100000000000003,0.28592484553584796,0.09496622558424066,0.19095861995160723,1.1961579764445036e-15,1.1283810144681288e-13
0.006200000000000003,0.28496133151195335,0.09482172984826308,0.19013960166368996,7.458021028031819e-16,1.1324693514770714e-13
0.0063000000000000035,0.2840156995203054,0.09467778445435623,0.18933791506594955,3.157282135421607e-15,1.16313187904414e-13
0.006400000000000004,0.28308779092651926,0.09453421209921478,0.18855357882730417,-9.62995006403252e-16,1.1835735640888525e-13
0.006500000000000004,0.28217709538926755,0.09439080634127613,0.1877862890479912,4.030844769754242e-15,1.1733527215664963e-13
0.006600000000000004,0.28128282283990963,0.09424738820137292,0.187035434638537,-1.200948996376858e-15,1.17948522707991e-13
0.0067000000000000046,0.2804040652776226,0.09410383826671435,0.18630022701090823,5.621463387295932e-16,1.1917502381067375e-13
0.006800000000000005,0.27953998080416775,0.09396010483540813,0.18557987596876013,6.023909061613709e-15,1.2489869562319324e-13
0.006900000000000005,0.27868994772636035,0.09381619434867056,0.18487375337768971,1.5650665112357992e-15,1.3041795058526562e-13
0.007000000000000005,0.27785365591901906,0.09367214980765981,0.18418150611135917,1.200948996376858e-15,1.2673844727721737e-13
0.007100000000000006,0.2770311170130528,0.09352802331693644,0.1835030936961163,3.634787122012938e-15,1.353239549959966e-13
0.007200000000000006,0.2762225912144399,0.0933838515492803,0.18283873966515957,4.624931241366198e-15,1.3450628759420812e-13
0.007300000000000006,0.27542845209746464,0.09323964371377894,0.18218880838368567,1.3350975544827837e-15,1.4697571547148272e-13
0.007400000000000006,0.2746490341731903,0.09309538707802684,0.18155364709516314,5.5703591746841506e-15,1.4779338287327122e-13
0.007500000000000007,0.27388451524236673,0.09295106661919514,0.18093344862317162,2.967238344771546e-15,1.4738454917237697e-13
0.007600000000000007,0.2731348675502012,0.09280668849756502,0.180328179052636,-5.014600862531029e-16,1.4472713011656434e-13
0.007700000000000007,0.2723998786732733,0.09266229643582626,0.17973758223744724,1.977094225418285e-15,1.4574921436879996e-13
0.0078000000000000074,0.2716792162343955,0.0925179751927618,0.1791612410416345,1.6513048700181798e-15,1.5106405248042522e-13
0.007900000000000008,0.2709725031779553,0.09237384163108016,0.17859866154687556,3.0662527567068715e-16,1.5126846933087233e-13
0.008000000000000007,0.2702793793625515,0.09223002768127798,0.1780493516812735,5.4330166032899885e-15,1.5147288618131947e-13
0.008100000000000007,0.26959953952533094,0.09208666019144063,0.17751287933389015,2.5264645109949327e-15,1.5964956019920445e-13
0.008200000000000006,0.26893274867418415,0.091943841488658,0.17698890718552585,2.1272128499653923e-15,1.559700568911562e-13
0.008300000000000005,0.26827884087652476,0.09180163283628588,0.17647720804023873,3.899890224936552e-15,1.6353348035769982e-13
