δs,cond_numbers,el2s,eh1s,ehs_energy
0.5422474566910707,3.1309280275545535e9,0.01803000792565446,0.11491914360052649,2.1137985124556167
0.5435263422021346,3.5183415710013766e9,0.018103665665464008,0.11518865577124279,2.1895674623605994
0.5448052277131984,1.0474321687884218e10,0.03730540865863927,0.17366483580308478,20.122439285425518
0.5460841132242622,4.476699107880841e9,0.01803676817790084,0.11501917060676649,2.176342985457878
0.5473629987353261,5.069943607353723e9,0.018054960817451234,0.11514397782474359,2.077706423082494
0.5486418842463899,5.758198445744739e9,0.018078946895098442,0.11525813703609075,2.060235959323302
0.5499207697574537,6.559277611086631e9,0.018102101023947458,0.11536135156182037,2.054810556425835
0.5511996552685177,7.494923909861969e9,0.018124778318747915,0.11545734717909112,2.0530936547066556
0.5524785407795815,8.591713939968006e9,0.01814720364363585,0.11554747803696837,2.0530602387673795
0.5537574262906453,9.88230647312371e9,0.018169329774603026,0.11563193243277126,2.0540482418589843
0.5550363118017092,1.1407014418529367e10,0.01819087831655247,0.1157102524357875,2.0558363985355483
0.556315197312773,1.3215849848635447e10,0.018211362096802367,0.11578154992755185,2.0584109936679016
0.5575940828238368,1.5371180587535387e10,0.01823009985205287,0.1158446068038768,2.0619134815912967
0.5588729683349007,7.305592286116229e16,0.018190483700939862,0.11584283699962603,2.1174955206130566
0.5601518538459646,7.207883504621854e14,0.018164252747583497,0.11583489857582555,2.0981324930888774
0.5614307393570284,6.59870444775369e13,0.018152780583634776,0.11584124030450006,2.1020483584491916
0.5627096248680923,1.4276844120912576e13,0.018150999898342162,0.11585627338481926,2.1169963731104278
0.5639885103791561,5.192797674879984e12,0.0181560549229834,0.11587726714301025,2.147470355017121
0.5652673958902199,3.0706055541343125e12,0.01816686668555348,0.11590952294229884,2.220155103429108
0.5665462814012838,7.304520295473834e12,0.01819271534712865,0.11618680968371359,3.4800483938454407
0.5678251669123476,7.156086792134128e11,0.018233615567684408,0.11584106314448227,2.5620574987322455
0.5691040524234114,1.37990238774147e11,0.018377085176815345,0.11612882769744085,3.286100086880203
0.5703829379344754,8.994128601110637e10,0.02179101330976952,0.1382173784387053,14.226305321757616
0.5716618234455392,1.1110288516399564e11,0.02020316560146512,0.12178200436996081,4.809325187781533
0.572940708956603,1.3829503162602893e11,0.018530762613718027,0.11777077805388804,2.701341350808574
0.5742195944676669,1.7361019441359753e11,0.018382811058871802,0.11720595569041699,2.3223735690124188
0.5754984799787307,2.1991506377831332e11,0.01834682199128401,0.11702779860390707,2.1925617474143895
0.5767773654897945,2.812858157991705e11,0.01833840027745003,0.11696474239435369,2.134306964804744
0.5780562510008584,3.6357791627870233e11,0.018340258414239856,0.11695037903158663,2.1038292344513154
0.5793351365119223,4.7532738860762836e11,0.01834690446124254,0.11696101357791669,2.086313230303318
0.5806140220229861,6.291806337869357e11,0.018356120016680015,0.11698620104536014,2.0756690759269234
0.58189290753405,8.44206528513741e11,0.018366861050892302,0.11702066583684086,2.06903895231695
0.5831717930451138,1.149717107648301e12,0.01837858202978719,0.11706148182584043,2.0649486834787836
0.5844506785561776,1.591732179724158e12,0.01839097591827484,0.11710691587446069,2.062584424969301
0.5857295640672415,2.2442064290016455e12,0.018403860473462316,0.11715589501796549,2.061476027758715
0.5870084495783053,3.2290972657461787e12,0.018417123418678065,0.11720773862048746,2.06134605203592
0.5882873350893691,4.753399522824408e12,0.018430693875367724,0.11726201459636224,2.0620329815464857
0.5895662206004331,7.179976757420868e12,0.018444526478115418,0.11731845854129855,2.063450447468421
0.5908451061114969,1.1168598412338283e13,0.01845859200114146,0.11737692710347682,2.065565277610403
0.5921239916225607,1.79698625804333e13,0.018472871474780855,0.1174373713420734,2.0683862228461725
0.5934028771336246,3.0070569026361113e13,0.01848735219669098,0.11749982275843109,2.071959435915096
0.5946817626446884,5.269902057820024e13,0.018502024728892553,0.1175643882735821,2.076368966362188
0.5959606481557522,8.359991051203878e18,0.018513812618402792,0.11761780582889865,2.082271597653641
0.5972395336668161,5.798296037491922e15,0.018528488767857277,0.11768636199414284,2.088404063796415
0.59851841917788,4.1371199840282106e14,0.01854315163937251,0.11775729311576724,2.096254855501658
0.5997973046889438,9.900126351851184e14,0.018557846848837087,0.11783155278330333,2.105897376439144
0.6010761902000077,2.725198918943133e15,0.018572572095045915,0.11791005067587075,2.117815893326678
0.6023550757110715,9.103610123268184e15,0.018587284413875384,0.11799382804012078,2.1327754417876292
0.6036339612221353,4.046097243938516e16,0.018601890543193042,0.11808420456198326,2.1520382923476795
0.6049128467331991,2.863672273497511e17,0.01861621997342028,0.1181829518764953,2.1780138086124174
0.606191732244263,4.988584337925146e18,0.018629970977977337,0.11829254086971468,2.216953592974459
0.6074706177553268,1.154272839760023e21,0.018642606265350407,0.11841652980885968,2.303488055436704
0.6087495032663907,2.1853073030142742e10,0.018764306392220292,0.11874396532244061,2.2819893160831293
0.6100283887774546,1.1863831033535517e10,0.01882530582971863,0.11901157039243532,2.352705558963074
0.6113072742885184,6.74323961633649e9,0.01890438895311546,0.11936413227740063,2.456771233368919
0.6125861597995822,5.485385092826505e9,0.019013083243379754,0.1198603152589897,2.6186918019278056
0.6138650453106461,9.825901751719566e9,0.019175716267155092,0.12062742499989053,2.8901437302063995
0.6151439308217099,1.845019056460272e10,0.019453605631677515,0.12199666440533789,3.396369139227872
0.6164228163327737,3.667350804335714e10,0.020052652487068563,0.1251249333113564,4.517586347422019
0.6177017018438377,7.81752713034617e10,0.02219772208000418,0.13728659597112655,8.087069911663074
0.6189805873549015,1.819195010635221e11,0.15035757110705034,0.959155001361975,130.75330934196316
0.6202594728659653,4.739608506758564e11,0.01920185557409897,0.1268669557253647,9.235867931634193
0.6215383583770292,1.4358458698373635e12,0.01831525201529955,0.11842456442369283,4.893018801340235
0.622817243888093,5.372327375629119e12,0.018355195248128002,0.11771309080600556,3.679225057030236
0.6240961293991568,2.75818428166341e13,0.018451831441050632,0.11787452999488986,3.2129466227100147
0.6253750149102207,2.3973890636024044e14,0.018548027735642472,0.11831830834457939,3.0772411769197747
0.6266539004212845,5.982622732794703e15,0.018645322595514602,0.11909872725144045,3.217868833960349
0.6279327859323484,4.138658106867637e18,0.01878282587056882,0.12082788810742576,3.9155785970094006
0.6292116714434123,5.195128729503206e7,0.019586519881118192,0.12847384442837784,6.204004439524116
